x1,E_y,sd,p05,p95,P_beat,P_075
0.6,0.18544876195426951,0.14112076080312425,-0.030841358261902593,0.429476708499657,0.0035,0.001
0.605,0.2102743025970423,0.14141729965886682,-0.009073905821516376,0.4463922225604306,0.006,0.002
0.61,0.23105018118269785,0.1436403182585496,0.004194394434112613,0.4693741135376463,0.008,0.002
0.615,0.2527913445752716,0.13751396085294,0.03640874247510043,0.4911897227788573,0.008,0.0015
0.62,0.28012382320304446,0.13588054882162875,0.06590357933511092,0.5129009280674535,0.0095,0.005
0.625,0.3009755973623127,0.13396528129818694,0.08328279177588781,0.529821062934933,0.009,0.0015
0.63,0.32931656386181785,0.13604959189062224,0.11201579881368315,0.5685959788670386,0.018,0.005
0.635,0.35009102998212205,0.13198481575517737,0.15012592890595838,0.569506803484731,0.017,0.005
0.64,0.37303161497424564,0.1353444148412704,0.1535399722270223,0.603685395774487,0.0305,0.009
0.645,0.39344920377345216,0.12558735256871045,0.19770789260197028,0.5961448617091043,0.027,0.0095
0.65,0.4149250024995792,0.13259923111286756,0.20232715074267893,0.6276705371431762,0.0365,0.014
0.655,0.4304718686971898,0.12601567496788085,0.23848979487343444,0.6349146761383063,0.0375,0.014
0.66,0.4508882350752671,0.12714991321426303,0.24671852469808198,0.6536263348891939,0.054,0.018
0.665,0.4677601257374022,0.12764082910382016,0.27039656968234593,0.661644899960393,0.0605,0.0235
0.67,0.4817458082971427,0.11152757999999051,0.30302311165542706,0.6624057023068405,0.0565,0.017
0.675,0.4991824236665492,0.11486680632448441,0.3229808315456052,0.6761828332842024,0.07,0.0235
0.68,0.5068962038364613,0.1132673762894716,0.33337519570736446,0.6890259922281035,0.0805,0.0305
0.685,0.51617761460075,0.11090871691234677,0.33400266792630273,0.7005723087327355,0.083,0.0295
0.69,0.5255036631569237,0.11440183450960026,0.35154876176919386,0.7120725178607112,0.092,0.0355
0.695,0.5254058405616333,0.10993876557048538,0.34117315543263477,0.6960366179264084,0.082,0.0255
0.7,0.5299920661831825,0.1060777503853486,0.35473863885752893,0.6969728473598084,0.0915,0.029
0.705,0.5324109197167026,0.10693851936887867,0.35469583144738365,0.7086798667008118,0.097,0.03
0.71,0.5333470353225563,0.11338871264195181,0.3509591562396395,0.7145795528731804,0.1,0.038
0.715,0.5304679057141084,0.11385948741309963,0.33997809852803906,0.7089633518741777,0.096,0.031
0.72,0.5225852120814707,0.11933560755996275,0.3264651182053425,0.7146739544772492,0.099,0.034
0.725,0.5150361310869197,0.12336347945709245,0.3161518631141653,0.6969296771757146,0.096,0.032
0.73,0.5074591072790652,0.12070218265270259,0.29516764701791315,0.6920056656307231,0.081,0.028
0.735,0.5003095951630113,0.1261153514904132,0.2888529793022125,0.6877601706575488,0.0865,0.0225
0.74,0.48562355163131565,0.1268964630415531,0.26250143890609107,0.6693873890139544,0.0685,0.0205
0.745,0.47008233583327447,0.13564625624381688,0.2406216754040181,0.6726402463496268,0.065,0.0205
0.75,0.45842595179331286,0.14422908565061376,0.20390126575095532,0.6755702309649604,0.0705,0.021
0.755,0.4467478655296605,0.14471531410488947,0.19151391089549719,0.6589564532700551,0.055,0.019
0.76,0.43312828724160585,0.14588549302211876,0.17930616103454144,0.6459529356180572,0.0485,0.0195
0.765,0.4123076771894934,0.14984282407000185,0.15087275525571975,0.6281357078583575,0.036,0.015
0.77,0.40032562224183493,0.15198860967913588,0.13231632212334377,0.6211943036222346,0.035,0.011
0.775,0.380789371214535,0.1543918325203254,0.11292496151048381,0.6088602752395257,0.032,0.01
0.78,0.3658360128060003,0.15871275213379504,0.09930561421336352,0.599085456927921,0.0255,0.0095
0.785,0.35196028246971756,0.15776301948177995,0.06595128352894566,0.5824511859827727,0.021,0.0045
0.79,0.33470363749050797,0.1540458731901248,0.06442074165293751,0.5667955939737542,0.0185,0.006
0.795,0.3246025662434036,0.15550107750246822,0.050264936560316796,0.552768934934235,0.014,0.0035
0.8,0.31508904526515097,0.15224799304105946,0.05567671453048775,0.5335443256653597,0.017,0.0055
0.805,0.30481355454029635,0.14859457702032025,0.05174593145338062,0.5310915735519353,0.0105,0.004
0.81,0.2909993251368059,0.1518189918737936,0.026242097111220386,0.5081763344780034,0.011,0.005
0.815,0.28690563417351883,0.14818486266675282,0.0365147211873526,0.5074269226099926,0.009,0.003
0.82,0.2770428670907123,0.1522317940962704,0.005346633367177633,0.5043588113470272,0.0075,0.003
0.825,0.2761867249075685,0.1470540597701861,0.014970786221532384,0.5014237422198458,0.006,0.0015
0.83,0.27309506767442016,0.14002249495433264,0.028685714628736526,0.4776860471850214,0.0065,0.0015
0.835,0.27038981807803386,0.14226084948625786,0.01933128356141944,0.4795498397742882,0.005,0.002
0.84,0.2775380183841756,0.13287516581697675,0.043729905966450516,0.47942000528427975,0.009,0.003
0.845,0.2810086272033094,0.13813762593893827,0.05096038804218167,0.47739342527315426,0.012,0.003
0.85,0.28788873297214845,0.1326941484295571,0.04484895407418611,0.4819049005295001,0.007,0.0025
0.855,0.29496282465513757,0.1336980295835469,0.06107031446502191,0.49364077366282355,0.008,0.0025
0.86,0.30234859292848404,0.13297866675953757,0.06781662049265892,0.4991046341265096,0.008,0.0045
0.865,0.31069454770363414,0.13472518615325607,0.07493220496344702,0.5020319301929941,0.0135,0.005
0.87,0.32313476290760546,0.13950941250666957,0.06551866733026203,0.5244907830030501,0.008,0.004
0.875,0.3395418886912146,0.13649850508472414,0.10898234494589677,0.5429502487005856,0.0155,0.0045
0.88,0.3496601848748448,0.14377432551059424,0.1007353062886274,0.5642842769962545,0.019,0.0085
0.885,0.36983066289736855,0.14514506433431598,0.11641871128746983,0.5800587993487745,0.0225,0.0075
0.89,0.39286615865246394,0.14871278492963205,0.14001261569990114,0.6205611141009464,0.033,0.016
0.895,0.4086879255262338,0.1490450023442886,0.16512511273989672,0.639603848266203,0.042,0.011
0.9,0.42662389268160783,0.15214133402862814,0.15555490610841724,0.6466207289860605,0.0445,0.016
0.905,0.44739824861927413,0.15347958997175384,0.18927605325200003,0.6671640870342705,0.0635,0.016
0.91,0.4684658394118779,0.16176875506490626,0.198455837925016,0.6906520887130809,0.0945,0.031
0.915,0.48807622446652976,0.16290269153807382,0.21510526521552603,0.7263441704586535,0.13,0.039
0.92,0.5042795135688783,0.17632993403443728,0.20804548882736268,0.7613538338099349,0.1615,0.053
0.925,0.5228427959295422,0.17186347350606299,0.22926340883572835,0.7745466199398862,0.2145,0.066
0.93,0.5378495714824383,0.17204303862830905,0.2571599003088227,0.782515880888524,0.2515,0.0755
0.935,0.5566431159385221,0.17275516294095192,0.25650759110107446,0.7936383061048099,0.3065,0.085
0.94,0.5741405558807997,0.17035078953283803,0.2744621068839157,0.8155036834154138,0.356,0.1215
0.945,0.591016532723867,0.17472455630034464,0.2904412950687076,0.8279283836299847,0.415,0.156
0.95,0.6038665668314668,0.17272399741932287,0.3038314152360675,0.8388422456111804,0.4595,0.1805
0.955,0.6181810351372596,0.17722668820150284,0.31576817100867793,0.8653210571562604,0.49,0.208
0.96,0.6286211571167243,0.17572521520561166,0.33350046931236094,0.8641440457933719,0.519,0.25
0.965,0.636689998432981,0.18130211935405832,0.3335269899224038,0.8824742130587214,0.5565,0.282
0.97,0.6500113780700488,0.1854659516696303,0.33087172925879565,0.9038903615521848,0.578,0.3095
0.975,0.6520203519301528,0.19163637405297615,0.3186260293866431,0.9064911621187329,0.5915,0.3365
0.98,0.6597007067502899,0.1993378477886142,0.29989012107410107,0.944074729635314,0.5845,0.35
0.985,0.651959498891787,0.2339765564768034,0.2313081641982002,0.9962420780326204,0.5405,0.359
0.99,0.6499058151736639,0.26875028923511385,0.1729478808592245,1.0559307771621333,0.5115,0.363
0.995,0.6537646182429391,0.3187615399042875,0.12039431976565733,1.1423689483188546,0.5125,0.388
1.0,0.6479506862674509,0.37490492192477237,0.014469371502988434,1.2466923497922304,0.4995,0.401
