function,dim_name,perm_importance,spearman_rho,linsvc_weight,relevance,direction
F1,x2,0.20871770001073733,0.0825710779249842,0.13636988875006475,1,weak / unclear
F1,x1,0.20178270091976602,0.30103806228373703,0.2979915036149351,2,weak / unclear
F2,x1,1.3325983461640598,0.4762845849802372,0.45655938213561476,1,push HIGH (x->1)
F2,x2,0.06090949436025321,0.06572770153707597,-0.25143160085234234,2,weak / unclear
F3,x3,0.372064464666183,0.10321698337896783,0.22989153450185226,1,weak / unclear
F3,x2,0.3327564634440591,0.0511908039985437,-0.021584105597876834,2,weak / unclear
F3,x1,0.29709539037860355,-0.032858712484916515,-0.12395707097919727,3,weak / unclear
F4,x1,0.35788403546796105,-0.3993505338705514,-0.122615449847316,1,push LOW (x->0)
F4,x2,0.2651656814275177,-0.41605315844957574,-0.14005504680730077,2,push LOW (x->0)
F4,x4,0.2449280316466582,-0.3149190102572238,-0.1691790065295507,3,weak / unclear
F4,x3,0.20896493189343204,-0.1869596407116424,-0.2939061883312564,4,weak / unclear
F5,x4,0.7055940889339176,0.862399520934142,0.27033696347592984,1,push HIGH (x->1)
F5,x3,0.4769941967557768,0.7825814571603515,0.5243574133824757,2,push HIGH (x->1)
F5,x2,0.3089956807805677,0.7477826652082696,1.247059213263529,3,push HIGH (x->1)
F5,x1,0.1033704984078269,-0.003178853379303453,0.2166863841822654,4,weak / unclear
F6,x5,0.3392329057397735,-0.8711095146148478,-1.6340837497024727,1,push LOW (x->0)
F6,x4,0.21452252916772782,0.5863769511520758,-0.03077096700052666,2,push HIGH (x->1)
F6,x1,0.14652725263084465,-0.13815024064625112,-0.6703471128074265,3,weak / unclear
F6,x2,0.14588093132971772,-0.17385490774423532,-0.23462408376097685,4,weak / unclear
F6,x3,0.1375632082024409,0.3768697263930983,0.22375759084467772,5,push HIGH (x->1)
F7,x1,0.3750651060314224,-0.4489752493376895,-0.4873336795930829,1,push LOW (x->0)
F7,x6,0.3273142401183523,0.38620363746147823,0.7514903312614697,2,push HIGH (x->1)
F7,x4,0.31918844643936495,-0.2223274236518055,-1.0976103487670315,3,weak / unclear
F7,x5,0.2867841167173466,-0.3592109587490727,0.005980357016580683,4,push LOW (x->0)
F7,x2,0.2648169136830788,-0.3844932985226197,-0.6453941499148524,5,push LOW (x->0)
F7,x3,0.26228244618517316,0.287732985968839,0.2841248915249411,6,weak / unclear
F8,x3,0.5592193001791671,-0.7234455814791809,-0.4982891517240653,1,push LOW (x->0)
F8,x1,0.31759226579266403,-0.7671087767715075,-0.30621164432869463,2,push LOW (x->0)
F8,x7,0.13725535464895647,-0.5934298958689443,-0.28366296898472754,3,push LOW (x->0)
F8,x2,0.050173248417332464,-0.47810387261542014,-0.4030668219831137,4,push LOW (x->0)
F8,x4,0.02851616440989281,-0.3999483762092667,-0.4614384715733928,5,push LOW (x->0)
F8,x8,0.016976745269452535,0.1671847874359078,0.0696095210225532,6,weak / unclear
F8,x6,0.016033818278097866,0.10761597947513954,0.03988974475710387,7,weak / unclear
F8,x5,0.009837690778547688,0.31075534344668876,0.2575459031761331,8,weak / unclear
