policy,ls,amp,gain
latent_EI,0.1,1.0,0.18259542981372612
observable_EI,0.1,1.0,0.1965572736383724
P_beat,0.1,1.0,0.062316783069812476
UCB,0.1,1.0,0.0
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.09521680967533785
maximin,0.1,1.0,0.07365205794646734
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.49998937696052903
observable_EI,0.1,1.0,0.0
P_beat,0.1,1.0,0.17422231055708393
UCB,0.1,1.0,0.07786304713295267
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.07561193166235602
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.2856391926578933
observable_EI,0.1,1.0,0.3093737642285369
P_beat,0.1,1.0,0.2759766275900545
UCB,0.1,1.0,0.0
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.038043153027333965
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.140098013395052
observable_EI,0.1,1.0,0.16996074670876737
P_beat,0.1,1.0,0.09591055539711812
UCB,0.1,1.0,0.07018628802090199
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.0010131440280582993
maximin,0.1,1.0,0.3050676081136715
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.068068866422751
observable_EI,0.1,1.0,0.08224830820542195
P_beat,0.1,1.0,0.19574740754205489
UCB,0.1,1.0,0.2287550531042356
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.013242265833999567
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.1925663257380097
observable_EI,0.1,1.0,0.175234435381307
P_beat,0.1,1.0,0.0759771634163463
UCB,0.1,1.0,0.16639581983835172
thompson,0.1,1.0,0.12753211024274713
exploit,0.1,1.0,0.16087666928184108
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.13709861165392379
observable_EI,0.1,1.0,0.20130319678893793
P_beat,0.1,1.0,0.19579880257177718
UCB,0.1,1.0,0.0
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.06786823080418247
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.21358479615479342
observable_EI,0.1,1.0,0.24656729180388148
P_beat,0.1,1.0,0.26554949138030937
UCB,0.1,1.0,0.3252361181333622
thompson,0.1,1.0,0.21137270190015045
exploit,0.1,1.0,0.10953767403879622
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.044649212127924165
observable_EI,0.1,1.0,0.048349000956243615
P_beat,0.1,1.0,0.02930232937510202
UCB,0.1,1.0,0.07121411469619399
thompson,0.1,1.0,0.06801656398279965
exploit,0.1,1.0,0.06079342999833992
maximin,0.1,1.0,0.11198427362987395
random,0.1,1.0,0.0
latent_EI,0.1,1.0,0.08662252454771613
observable_EI,0.1,1.0,0.10449686308242334
P_beat,0.1,1.0,0.1995568233228293
UCB,0.1,1.0,0.12029224059148802
thompson,0.1,1.0,0.1045990865840869
exploit,0.1,1.0,0.0077823866781198126
maximin,0.1,1.0,0.2489391475978494
random,0.1,1.0,0.10450540210220027
latent_EI,0.1,1.0,0.08444749342492341
observable_EI,0.1,1.0,0.21848088451128456
P_beat,0.1,1.0,0.13159868120879648
UCB,0.1,1.0,0.178427281361349
thompson,0.1,1.0,0.0
exploit,0.1,1.0,0.11701681649588735
maximin,0.1,1.0,0.0
random,0.1,1.0,0.0
latent_EI,0.15,1.0,0.11524155564631211
observable_EI,0.15,1.0,0.08777295210531577
P_beat,0.15,1.0,0.22219040382310373
UCB,0.15,1.0,0.3119082555340378
thompson,0.15,1.0,0.0
exploit,0.15,1.0,0.0684652660388172
maximin,0.15,1.0,0.0
random,0.15,1.0,0.0
latent_EI,0.15,1.0,0.2518764486532937
observable_EI,0.15,1.0,0.14612553111670934
P_beat,0.15,1.0,0.23369335123670576
UCB,0.15,1.0,0.05621142433668669
thompson,0.15,1.0,0.18782147658964066
exploit,0.15,1.0,0.01700241795436952
maximin,0.15,1.0,0.0
random,0.15,1.0,0.0
latent_EI,0.15,1.0,0.0
observable_EI,0.15,1.0,0.0
P_beat,0.15,1.0,0.04062387972796633
UCB,0.15,1.0,0.0
thompson,0.15,1.0,0.0
exploit,0.15,1.0,0.01474433936342856
maximin,0.15,1.0,0.0
random,0.15,1.0,0.0
latent_EI,0.15,1.0,0.1411648734945815
observable_EI,0.15,1.0,0.13481888342945636
P_beat,0.15,1.0,0.07607661051847714
UCB,0.15,1.0,0.221214598875626
thompson,0.15,1.0,0.004243124416201671
exploit,0.15,1.0,0.07114994242101991
maximin,0.15,1.0,0.0
random,0.15,1.0,0.0
latent_EI,0.25,2.0,0.4783264105874374
observable_EI,0.25,2.0,0.08720494498322762
P_beat,0.25,2.0,0.12265684449147296
UCB,0.25,2.0,0.4384425443599118
thompson,0.25,2.0,0.17746086576183062
exploit,0.25,2.0,0.05678060592165257
maximin,0.25,2.0,0.5339678434066637
random,0.25,2.0,0.009044704857959496
latent_EI,0.25,2.0,0.23440785084525384
observable_EI,0.25,2.0,0.2546121983659875
P_beat,0.25,2.0,0.3468703700896646
UCB,0.25,2.0,0.2936756670939983
thompson,0.25,2.0,0.2305337386842614
exploit,0.25,2.0,0.026510181911255426
maximin,0.25,2.0,0.0
random,0.25,2.0,0.0
