policy,kshape,ls,amp,weeks,gain
observable_EI,iso,0.1,0.5,1,0.0
P_beat,iso,0.1,0.5,1,0.0
LCB,iso,0.1,0.5,1,0.0
latent_EI,iso,0.1,0.5,1,0.0
thompson,iso,0.1,0.5,1,0.0
exploit,iso,0.1,0.5,1,0.0
maximin,iso,0.1,0.5,1,0.0
random,iso,0.1,0.5,1,0.0
observable_EI,iso,0.1,0.5,1,0.0
P_beat,iso,0.1,0.5,1,0.0
LCB,iso,0.1,0.5,1,0.0
latent_EI,iso,0.1,0.5,1,0.0
thompson,iso,0.1,0.5,1,0.0
exploit,iso,0.1,0.5,1,0.0
maximin,iso,0.1,0.5,1,0.0
random,iso,0.1,0.5,1,0.0
observable_EI,iso,0.1,0.5,1,0.0
P_beat,iso,0.1,0.5,1,0.0
LCB,iso,0.1,0.5,1,0.0
latent_EI,iso,0.1,0.5,1,0.0
thompson,iso,0.1,0.5,1,0.0
exploit,iso,0.1,0.5,1,0.0
maximin,iso,0.1,0.5,1,0.0
random,iso,0.1,0.5,1,0.0
observable_EI,iso,0.1,1.0,1,0.0
P_beat,iso,0.1,1.0,1,0.0
LCB,iso,0.1,1.0,1,0.0
latent_EI,iso,0.1,1.0,1,0.0
thompson,iso,0.1,1.0,1,0.0
exploit,iso,0.1,1.0,1,0.0
maximin,iso,0.1,1.0,1,0.0
random,iso,0.1,1.0,1,0.0
observable_EI,iso,0.1,1.0,1,0.0
P_beat,iso,0.1,1.0,1,0.0
LCB,iso,0.1,1.0,1,0.0
latent_EI,iso,0.1,1.0,1,0.0
thompson,iso,0.1,1.0,1,0.0
exploit,iso,0.1,1.0,1,9.765027884475557e-05
maximin,iso,0.1,1.0,1,0.0
random,iso,0.1,1.0,1,0.0
observable_EI,iso,0.1,1.0,1,0.0
P_beat,iso,0.1,1.0,1,0.0
LCB,iso,0.1,1.0,1,0.0
latent_EI,iso,0.1,1.0,1,0.0
thompson,iso,0.1,1.0,1,0.0
exploit,iso,0.1,1.0,1,0.0
maximin,iso,0.1,1.0,1,0.0
random,iso,0.1,1.0,1,0.0
observable_EI,iso,0.1,2.0,1,0.0
P_beat,iso,0.1,2.0,1,0.0
LCB,iso,0.1,2.0,1,0.0
latent_EI,iso,0.1,2.0,1,0.0
thompson,iso,0.1,2.0,1,5.621388693635319e-05
exploit,iso,0.1,2.0,1,0.0
maximin,iso,0.1,2.0,1,0.0
random,iso,0.1,2.0,1,0.0
observable_EI,iso,0.1,2.0,1,0.0
P_beat,iso,0.1,2.0,1,0.0
LCB,iso,0.1,2.0,1,0.0
latent_EI,iso,0.1,2.0,1,0.0
thompson,iso,0.1,2.0,1,0.00011967309205220873
exploit,iso,0.1,2.0,1,0.0
maximin,iso,0.1,2.0,1,0.0
random,iso,0.1,2.0,1,0.00036696159831901994
observable_EI,iso,0.1,2.0,1,0.0
P_beat,iso,0.1,2.0,1,0.0
LCB,iso,0.1,2.0,1,0.0
latent_EI,iso,0.1,2.0,1,0.0
thompson,iso,0.1,2.0,1,0.0
exploit,iso,0.1,2.0,1,0.0
maximin,iso,0.1,2.0,1,0.0
random,iso,0.1,2.0,1,0.0
observable_EI,iso,0.15,0.5,1,0.0
P_beat,iso,0.15,0.5,1,0.0
LCB,iso,0.15,0.5,1,0.0
latent_EI,iso,0.15,0.5,1,0.0
thompson,iso,0.15,0.5,1,0.0
exploit,iso,0.15,0.5,1,0.0
maximin,iso,0.15,0.5,1,0.0
random,iso,0.15,0.5,1,0.0
observable_EI,iso,0.15,0.5,1,0.0
P_beat,iso,0.15,0.5,1,0.0
LCB,iso,0.15,0.5,1,0.0
latent_EI,iso,0.15,0.5,1,0.0
thompson,iso,0.15,0.5,1,0.0
exploit,iso,0.15,0.5,1,0.0
maximin,iso,0.15,0.5,1,0.00032708596247710763
random,iso,0.15,0.5,1,0.0
observable_EI,iso,0.15,0.5,1,0.0
P_beat,iso,0.15,0.5,1,0.0
LCB,iso,0.15,0.5,1,0.0
latent_EI,iso,0.15,0.5,1,0.0
thompson,iso,0.15,0.5,1,0.0
exploit,iso,0.15,0.5,1,0.0
maximin,iso,0.15,0.5,1,0.0
random,iso,0.15,0.5,1,0.0
observable_EI,iso,0.15,1.0,1,0.0
P_beat,iso,0.15,1.0,1,0.0
LCB,iso,0.15,1.0,1,0.0
latent_EI,iso,0.15,1.0,1,0.0
thompson,iso,0.15,1.0,1,0.0
exploit,iso,0.15,1.0,1,0.0
maximin,iso,0.15,1.0,1,0.0
random,iso,0.15,1.0,1,0.0
observable_EI,iso,0.15,1.0,1,0.0
P_beat,iso,0.15,1.0,1,0.0
LCB,iso,0.15,1.0,1,0.0
latent_EI,iso,0.15,1.0,1,0.0
thompson,iso,0.15,1.0,1,0.0
exploit,iso,0.15,1.0,1,0.0
maximin,iso,0.15,1.0,1,0.0
random,iso,0.15,1.0,1,0.0
observable_EI,iso,0.15,1.0,1,0.0
P_beat,iso,0.15,1.0,1,0.0
LCB,iso,0.15,1.0,1,0.0
latent_EI,iso,0.15,1.0,1,0.0
thompson,iso,0.15,1.0,1,0.00011977910878743596
exploit,iso,0.15,1.0,1,0.0
maximin,iso,0.15,1.0,1,0.0
random,iso,0.15,1.0,1,0.0
observable_EI,iso,0.15,2.0,1,0.0
P_beat,iso,0.15,2.0,1,0.0
LCB,iso,0.15,2.0,1,0.0
latent_EI,iso,0.15,2.0,1,0.0
thompson,iso,0.15,2.0,1,0.0
exploit,iso,0.15,2.0,1,0.0
maximin,iso,0.15,2.0,1,0.0
random,iso,0.15,2.0,1,0.0
observable_EI,iso,0.15,2.0,1,0.0
P_beat,iso,0.15,2.0,1,0.0
LCB,iso,0.15,2.0,1,0.0
latent_EI,iso,0.15,2.0,1,0.0
thompson,iso,0.15,2.0,1,0.0
exploit,iso,0.15,2.0,1,0.0
maximin,iso,0.15,2.0,1,0.000270822748590138
random,iso,0.15,2.0,1,0.0
observable_EI,iso,0.15,2.0,1,0.0
P_beat,iso,0.15,2.0,1,0.0
LCB,iso,0.15,2.0,1,0.00036893153410617283
latent_EI,iso,0.15,2.0,1,0.0
thompson,iso,0.15,2.0,1,3.2225943642813016e-05
exploit,iso,0.15,2.0,1,0.0
maximin,iso,0.15,2.0,1,0.0
random,iso,0.15,2.0,1,0.0
observable_EI,iso,0.25,0.5,1,0.0
P_beat,iso,0.25,0.5,1,0.0
LCB,iso,0.25,0.5,1,0.0
latent_EI,iso,0.25,0.5,1,0.0
thompson,iso,0.25,0.5,1,0.0
exploit,iso,0.25,0.5,1,0.0
maximin,iso,0.25,0.5,1,0.0
random,iso,0.25,0.5,1,0.0
observable_EI,iso,0.25,0.5,1,0.0
P_beat,iso,0.25,0.5,1,0.0
LCB,iso,0.25,0.5,1,0.0
latent_EI,iso,0.25,0.5,1,0.0
thompson,iso,0.25,0.5,1,0.0
exploit,iso,0.25,0.5,1,0.0
maximin,iso,0.25,0.5,1,0.0
random,iso,0.25,0.5,1,0.0
observable_EI,iso,0.25,0.5,1,0.0
P_beat,iso,0.25,0.5,1,0.0
LCB,iso,0.25,0.5,1,0.0
latent_EI,iso,0.25,0.5,1,0.0
thompson,iso,0.25,0.5,1,0.0
exploit,iso,0.25,0.5,1,0.0
maximin,iso,0.25,0.5,1,0.0
random,iso,0.25,0.5,1,0.0
observable_EI,iso,0.25,1.0,1,0.0
P_beat,iso,0.25,1.0,1,0.0
LCB,iso,0.25,1.0,1,0.0
latent_EI,iso,0.25,1.0,1,0.0
thompson,iso,0.25,1.0,1,0.0
exploit,iso,0.25,1.0,1,0.0
maximin,iso,0.25,1.0,1,0.0
random,iso,0.25,1.0,1,0.0
observable_EI,iso,0.25,1.0,1,0.0
P_beat,iso,0.25,1.0,1,0.0
LCB,iso,0.25,1.0,1,0.0
latent_EI,iso,0.25,1.0,1,0.0
